,step,reward,actor_loss,critic_loss,max_q1,min_q1,q1,eval_time,eval_step,time
0,0,24.412578838647327,,,,,,,,
1,10000,24.85219770749392,,,,,,,,
2,20000,24.438319100669144,,,,,,,,
3,30000,180.65280191972607,-20.194057,4.218463,30.399317,-4.350879,18.25127,0.19273090362548828,85.4,0.2151166518529256
4,40000,197.2675764611196,-64.98538,25.97095,85.605034,-3.2917042,61.612648,0.21802353858947754,98.1,0.3622498075167338
5,50000,337.5895558082186,-99.555405,46.15526,168.0835,-14.016647,95.20738,0.27566981315612793,123.5,0.5098536888758342
6,60000,273.562266908663,-129.67375,50.694756,193.78128,-16.138855,123.69125,0.27344226837158203,115.5,0.6590092897415161
7,70000,309.16063821347973,-152.13177,74.04326,198.27176,-10.366329,145.41693,0.3286564350128174,147.9,0.80927042166392
8,80000,346.09194252440506,-159.71103,42.10838,194.1307,-13.117139,154.8689,0.31205177307128906,141.2,0.9573403278986613
9,90000,296.9812372959158,-154.29868,33.90829,195.28215,-27.699133,150.76505,0.2647426128387451,120.2,1.1050445357958476
10,100000,355.23031106422764,-142.63652,36.759647,195.48473,-7.4415245,137.14795,0.3845796585083008,166.2,1.2580734252929688
11,110000,629.2655292342288,-135.60294,36.452736,196.33376,-17.578592,130.63931,0.5180802345275879,222.3,1.4144234935442606
12,120000,1265.4951213716404,-142.64912,26.272217,193.31018,-9.818533,139.73169,1.0197312831878662,433.1,1.5823709567387898
13,130000,353.8726012600549,-149.6589,22.089787,218.83911,-6.391449,146.43834,0.31792449951171875,144.1,1.7305699308713278
14,140000,617.1882066129268,-148.40588,19.292252,221.38182,-5.7129607,144.86385,0.44690513610839844,201.9,1.8821372230847677
15,150000,667.9045332665291,-155.57613,28.217333,233.42354,-16.427431,151.26866,0.5005125999450684,217.8,2.058972656726837
16,160000,2238.6230095679057,-166.79794,20.458204,227.18732,-74.977905,164.68515,1.6526284217834473,711.3,2.235253628094991
17,170000,2539.6582676579446,-170.03973,28.745811,253.49973,-7.1822605,167.2706,2.1069233417510986,941.0,2.417714556058248
18,180000,1516.3442076480528,-184.09637,44.629967,262.79395,-17.303402,181.02579,1.1302464008331299,474.9,2.583861696720123
19,190000,623.6254532773669,-188.50223,22.198353,261.12732,8.578969,184.82993,0.4625234603881836,205.3,2.739955695470174
20,200000,537.3380405772687,-191.5481,42.660725,276.2807,-29.896343,186.5268,0.39926576614379883,175.7,2.8945181528727213
21,210000,1185.3765832959928,-200.1199,62.85134,269.14343,-14.012544,196.81744,0.888514518737793,392.9,3.057618780930837
22,220000,1673.593881195478,-201.77121,22.807583,274.92926,-26.259783,198.47043,1.1711654663085938,518.7,3.2250661214192706
23,230000,1758.6299738739613,-212.47452,25.456102,281.6213,-19.269491,209.29727,1.2211980819702148,526.2,3.393453534444173
24,240000,2212.1715856048886,-206.99248,33.49009,278.74655,-46.125244,202.05267,1.6216306686401367,724.9,3.5691617290178934
25,250000,2851.8502286081302,-214.23872,28.380938,278.9261,-5.01431,212.18164,2.3098466396331787,1000.0,3.7572986125946044
26,260000,2968.296606798636,-215.88824,56.83455,273.5662,-16.254702,209.38098,2.41695499420166,1000.0,3.9469148834546406
27,270000,1849.8188689060094,-223.36331,76.96983,273.97418,-9.978668,220.06216,1.4795334339141846,641.7,4.121108214060466
28,280000,1959.268146513307,-223.15327,29.016365,276.4972,2.5816038,220.27988,1.4144690036773682,617.5,4.295125647385915
29,290000,1585.0285363713067,-219.90273,44.71991,278.00024,-36.948513,217.48012,1.135624647140503,504.8,4.462695221106212
30,300000,2198.453161750033,-224.01123,25.859602,279.6278,-28.333948,220.04364,1.581165075302124,703.1,4.637636935710907
31,310000,2915.6389825026286,-222.53244,45.376293,286.52078,6.478834,219.52475,2.256657600402832,1000.0,4.823437750339508
32,320000,2940.442461273702,-226.18504,79.26779,279.78308,-23.26773,222.93144,2.2539608478546143,1000.0,5.010674039522807
33,330000,2897.3144778287683,-232.81235,33.96786,288.2544,8.443769,229.99857,2.2306692600250244,1000.0,5.196781102816264
34,340000,1052.3897775234127,-232.19983,23.314848,293.77505,-5.112508,229.60107,0.771296501159668,320.3,5.359591158231099
35,350000,3056.2586199496827,-237.762,21.853607,288.81708,-8.53983,235.15585,2.239455461502075,1000.0,5.546377138296763
36,360000,1335.6852319024806,-232.8363,15.942304,288.93375,-23.283672,230.3313,1.0042192935943604,413.4,5.710722291469574
37,370000,1656.7071930087045,-232.1128,14.034606,287.8953,-3.5092258,230.10626,1.172330379486084,521.0,5.879530902703603
38,380000,3076.752308472514,-243.39098,15.595876,290.38245,14.2120495,240.56366,2.282382011413574,1000.0,6.06628198226293
