,step,reward,critic_loss,q1,q2,actor_loss,bc_loss,time
0,0,0.8450012676526336,,,,,,
1,5000,30.97594665863712,0.5026375,36.18023,36.279556,-2.4281757,0.07182424,0.16171986262003582
2,10000,16.2468653998141,1.1484947,67.6901,67.65814,-2.443223,0.056777112,0.28291513125101725
3,15000,29.40951889157609,0.91350895,94.0181,94.01187,-2.4449408,0.05505938,0.4324907382329305
4,20000,21.54670583230063,1.8351552,114.23621,114.099075,-2.4399524,0.06004758,0.5629752953847249
5,25000,30.07861426612691,1.6084327,136.38618,136.5708,-2.443875,0.056124967,0.6986240585645039
6,30000,29.873485946448262,1.3693159,152.1791,152.1365,-2.4465733,0.053426784,0.8498343984285991
7,35000,29.495203320824093,1.8419704,159.64656,159.57304,-2.4437141,0.05628586,0.9963777860005697
8,40000,29.32342137677772,1.7191803,181.1291,181.0843,-2.4436088,0.056391172,1.1368170420328776
9,45000,22.779360453811577,2.3317223,183.66238,183.77956,-2.4414234,0.058576357,1.2720358451207479
10,50000,31.787906778768065,1.939671,191.68231,191.44562,-2.4455345,0.054465637,1.4273239771525066
11,55000,31.132106591533038,1.592042,191.46008,191.36758,-2.434005,0.06599507,1.5652207612991333
12,60000,31.272675050275506,1.6301672,204.15628,204.20987,-2.443929,0.056071352,1.7188177307446797
13,65000,30.91815364991343,1.9047456,203.70793,203.59898,-2.4446323,0.05536738,1.8629613399505616
14,70000,31.324160255907056,1.8530157,202.31105,202.19547,-2.449039,0.050961107,2.008604343732198
15,75000,31.177380245764468,1.8239355,210.30493,210.23007,-2.43183,0.068170086,2.161186138788859
16,80000,30.415309365889737,2.0989046,218.84161,218.81201,-2.4342237,0.065776326,2.2976839542388916
17,85000,29.329000643945452,1.6626184,222.76807,222.59854,-2.44336,0.05663988,2.4423519492149355
18,90000,32.78564996193956,1.7488773,221.66557,221.74228,-2.4468372,0.053162765,2.6000420292218527
19,95000,74.89770101797973,2.1046376,222.66118,222.7073,-2.4442992,0.05570067,2.785629959901174
20,100000,31.49428424397593,1.9487394,226.94934,227.03232,-2.4485133,0.05148679,2.942498278617859
21,105000,29.53627776249592,1.9277341,233.08199,232.66959,-2.4551587,0.044841304,3.0927702228228253
22,110000,30.338062752922635,2.6598482,225.25491,225.2424,-2.4442139,0.055786144,3.2072275320688886
23,115000,30.52541237742887,1.8987569,214.38702,214.30972,-2.4479086,0.052091353,3.358178146680196
