,step,reward,actor_loss,critic_loss,max_q1,min_q1,q1,eval_time,eval_step,time
0,0,153.4241112637754,,,,,,,,
1,10000,153.1392142155389,,,,,,,,
2,20000,176.97310030780392,,,,,,,,
3,30000,261.9888382049442,-53.880463,13.671776,65.83932,-1.1507758,51.52675,0.3399503231048584,49.5,0.387699023882548
4,40000,69.0591155804122,-103.90312,47.422222,161.22365,-15.751171,99.801834,0.06750655174255371,14.6,0.6270259976387024
5,50000,70.90067317751733,-50.55093,12.919615,107.27651,-1.9627672,51.653652,0.07181143760681152,15.0,0.84575008948644
6,60000,303.0298912627842,-107.893974,25.5399,188.0349,4.995023,96.16397,0.3918132781982422,58.9,1.0780895868937175
7,70000,376.6957387149211,-144.24734,74.02684,278.61737,-1.6037787,132.98653,0.46149444580078125,72.6,1.341754186153412
8,80000,384.9006677516771,-147.7604,64.74036,299.32693,-2.9336658,136.77094,0.5022079944610596,73.0,1.5973069230715433
9,90000,353.4850465234651,-151.18852,77.85251,312.9066,-10.528144,140.42325,0.417588472366333,67.1,1.8416846911112468
10,100000,320.9870561702449,-180.9717,68.36571,342.50647,4.7971835,167.89711,0.34212374687194824,60.6,2.0830772638320925
11,110000,350.86687611031124,-166.48047,98.449844,354.42462,-26.977558,154.50926,0.36177635192871094,69.0,2.3135176221529643
12,120000,459.86771351816776,-157.15416,94.7425,321.67905,2.6020305,146.50723,0.5207083225250244,93.1,2.547772200902303
13,130000,386.8709379301698,-137.46742,70.245575,300.34253,-5.1135063,128.6735,0.4259345531463623,80.9,2.7831753929456076
14,140000,462.2807625366248,-137.28568,49.999397,280.83707,2.7316375,128.97298,0.49684739112854004,87.4,3.0255022168159487
15,150000,572.5436039809221,-140.04399,41.978264,274.9953,1.6687579,133.1151,0.6147615909576416,114.2,3.26334939400355
16,160000,455.15992895316185,-149.85814,40.855278,267.371,-0.61783427,142.66022,0.534050464630127,99.1,3.509415117899577
17,170000,563.4342374951,-159.3736,62.90973,269.09897,3.2586317,151.82852,0.6347537040710449,117.3,3.746719761689504
18,180000,557.1453840204676,-155.04755,47.41326,272.86212,4.032143,149.0687,0.6069545745849609,112.8,3.984104784329732
19,190000,607.0655428756189,-155.23438,52.331078,270.0843,4.9753537,149.79459,0.6416068077087402,120.0,4.222982561588287
20,200000,637.2847378330239,-144.97845,52.198086,273.41165,-3.4711204,138.86899,0.6835348606109619,127.6,4.460459188620249
21,210000,696.0545541456287,-161.03375,50.366467,273.49826,3.4611006,155.49786,0.7392418384552002,137.4,4.699914344151815
22,220000,714.3631502966759,-147.92401,44.24276,277.926,-3.8081267,142.22778,0.7113955020904541,139.2,4.935256179173788
23,230000,657.2306185558822,-166.06018,50.61849,278.04095,-3.3280733,161.29266,0.6826159954071045,124.6,5.170820546150208
24,240000,735.5654072442899,-166.75891,47.26938,283.13962,6.1574965,161.8057,0.7416753768920898,142.3,5.406703631083171
25,250000,764.5571301840156,-166.5982,40.67772,289.44443,4.6113048,160.92203,0.8041973114013672,155.9,5.644642539819082
26,260000,726.8422492897919,-161.56114,55.28188,292.34543,-4.463829,155.80887,0.7929422855377197,146.5,5.879919795195262
27,270000,701.1107147206802,-167.83432,56.775185,298.07745,4.1425796,162.74966,0.7308824062347412,134.3,6.115340872605642
28,280000,788.1825895388803,-185.5969,58.284065,302.00482,0.12806416,180.1794,0.8066346645355225,158.6,6.354722774028778
29,290000,1532.8821964480442,-177.55743,60.412323,307.18375,-2.8572578,171.71898,1.6055128574371338,305.8,6.605004942417144
30,300000,1055.412641479808,-178.40038,65.9884,310.91107,-7.539404,172.89323,1.0831220149993896,212.1,6.845044541358948
31,310000,1334.0312237911178,-175.46399,60.073586,313.7365,4.025177,170.06073,1.3912148475646973,264.5,7.090886990229289
32,320000,1174.0282799088886,-183.339,56.354763,318.79553,-4.2317667,177.72389,1.2232072353363037,239.0,7.334910519917806
33,330000,1507.8148645650497,-183.12625,64.752365,321.22433,-6.7640953,177.30542,1.5179064273834229,292.6,7.585873711109161
34,340000,1430.8507679093434,-195.77698,70.454414,330.96262,-2.5823028,190.30228,1.5059611797332764,286.6,7.839104159673055
35,350000,1969.3540756786028,-195.93793,60.70764,339.0247,-6.9503894,191.3832,2.0915184020996094,397.9,8.095836234092712
36,360000,2028.7107627114383,-198.71547,69.491905,344.6668,1.3750222,192.69179,2.0084967613220215,408.4,8.348721325397491
37,370000,4187.02338890935,-194.55847,61.89434,350.9665,2.8152113,189.60245,4.164530992507935,835.1,8.641222564379374
38,380000,2416.3595664289264,-214.30798,78.11283,358.5793,3.5593107,208.18146,2.476426839828491,480.9,8.914012583096822
39,390000,3868.860484553865,-213.8357,102.10486,365.1907,-8.18512,206.6263,3.9380533695220947,767.5,9.207021792729696
40,400000,3998.7980127187802,-237.67212,75.22452,370.37274,4.041313,232.2015,4.156297922134399,797.1,9.50046300093333
41,410000,3758.31923648624,-238.61905,80.779854,376.73114,-5.1349587,229.92778,3.663774251937866,756.0,9.78831311861674
42,420000,2889.920912109624,-242.57144,110.67334,379.98108,-5.876555,236.25926,2.979078769683838,578.9,10.066398350397746
43,430000,4555.784473983027,-241.0845,90.071594,383.66974,-0.06208253,234.80469,4.695077180862427,898.5,10.374311582247417
44,440000,4050.945903455814,-256.1416,98.221306,390.4861,-5.432537,249.3493,4.208370923995972,808.6,10.671312137444813
45,450000,4410.862329497417,-268.59647,108.138626,394.91006,-4.14184,262.0991,4.747382879257202,875.6,10.98750098546346
46,460000,4747.91612801318,-258.79,122.53586,397.45865,-5.0444064,252.30597,5.000679016113281,943.8,11.30346811612447
47,470000,4990.37547998782,-280.91348,105.783035,403.7586,-5.958891,274.0326,5.330486536026001,1000.0,11.6216264128685
48,480000,4791.2050292885,-266.3422,75.62017,404.3298,-12.434754,260.08926,5.017705202102661,951.3,11.93606468041738
49,490000,4011.1792570712305,-276.97015,104.5435,408.34216,-0.43368024,269.3167,4.399409532546997,789.5,12.242070933183035
50,500000,3557.8301860662627,-295.72678,107.71877,412.43747,3.8603375,288.33105,3.808518171310425,701.8,12.535881833235424
51,510000,3645.767758264706,-283.88245,89.88934,415.99335,-3.9679873,278.51617,4.0105881690979,730.1,12.834917716185252
52,520000,2734.862022941179,-292.0331,98.135025,419.85687,3.3088493,284.49933,2.920133352279663,539.4,13.12388699054718
53,530000,3543.9355801275815,-305.67096,103.7527,423.3595,3.910246,299.56293,3.7280421257019043,706.3,13.422897907098134
54,540000,4382.631087655094,-288.99176,119.272125,425.46872,-2.306376,281.73962,4.777513742446899,856.5,13.737788804372151
55,550000,5056.116318837709,-292.52362,104.866196,428.90955,-10.988197,285.95813,5.329968690872192,1000.0,14.063471368948619
56,560000,4990.629628915332,-313.45697,94.90714,426.53113,-8.250126,307.2589,5.245685815811157,980.0,14.384113232294718
57,570000,4642.21497314983,-311.52695,122.838196,430.88168,-1.349462,304.93948,5.078523635864258,935.6,14.704399605592092
58,580000,4464.032952239301,-317.09723,124.45317,431.9543,-5.3499937,311.2536,4.8944432735443115,914.3,15.015949400266011
59,590000,4725.959636697685,-323.455,134.87138,432.28867,-3.997194,316.8356,4.932489395141602,935.8,15.326206894715627
60,600000,4981.215361746604,-299.5131,107.85305,436.219,-0.17307317,293.81134,5.184890508651733,1000.0,15.639530154069265
61,610000,5017.381667310816,-326.01385,89.40073,437.10336,-5.702728,318.16333,5.180119752883911,1000.0,15.96001478433609
62,620000,5020.029455482125,-329.70093,110.906265,438.80588,1.8802915,322.7984,5.19568395614624,1000.0,16.276982486248016
63,630000,2935.1529266911507,-323.92737,95.11801,438.13168,6.462374,317.72192,3.252666711807251,610.2,16.56060337225596
64,640000,4978.828180431592,-324.6877,99.892395,442.42535,2.6346688,317.95648,5.267591953277588,1000.0,16.879534423351288
65,650000,5009.066386016698,-314.28564,140.53867,441.54514,-1.9397734,308.08008,5.341379642486572,1000.0,17.200729648272198
66,660000,4967.268073499858,-331.34277,103.132,443.01294,-3.9846509,325.56848,5.342160701751709,1000.0,17.518759044011436
67,670000,4349.48089961169,-345.7073,110.46314,445.6999,-1.114204,340.39603,4.48438286781311,874.6,17.826851963996887
68,680000,4954.552558570313,-335.1249,84.099686,445.2929,-8.328806,329.64557,5.424814462661743,1000.0,18.147037688891093
69,690000,5020.6698504754295,-352.08594,111.513016,446.21906,4.745181,346.31818,5.430152416229248,1000.0,18.469580554962157
70,700000,5053.248777472972,-341.9175,91.67433,447.8054,-0.2844653,336.53195,5.133012056350708,1000.0,18.785732726256054
71,710000,4810.607239236468,-325.96448,89.50571,448.08646,-7.991328,319.1987,5.6764891147613525,968.1,19.10645295381546
72,720000,4963.687095797873,-343.24274,140.66,449.8225,0.14399302,337.94922,5.322140455245972,1000.0,19.425081662336986
73,730000,4721.107433539284,-353.4295,110.90947,449.89642,0.30958307,348.2315,4.914869546890259,937.1,19.731113731861115
74,740000,5010.621880409786,-349.69214,108.292465,449.7731,-10.183276,342.47403,5.212153196334839,1000.0,20.043671011924744
75,750000,4672.948261067139,-351.418,83.31596,450.57556,-7.9412026,345.64697,4.749815225601196,935.4,20.356542897224426
76,760000,5006.366188580778,-355.72498,108.70232,451.5482,5.889776,349.65607,5.283638000488281,995.5,20.674334394931794
77,770000,4957.029572512458,-349.9038,89.518036,454.57224,0.8624579,344.12964,5.662540435791016,1000.0,21.00008261203766
78,780000,4783.210732945717,-357.23752,107.14656,453.372,13.620984,352.06802,5.062044143676758,957.7,21.325637956460316
79,790000,4998.385877672152,-353.31482,112.99878,452.229,-1.701606,349.6292,5.406114816665649,994.7,21.649071907997133
80,800000,4542.736488546689,-358.13947,91.82676,454.2732,-3.276536,352.85144,4.942852973937988,912.9,21.970443352063498
81,810000,5094.204868257546,-353.03333,115.01822,455.60327,-7.6142936,345.8886,5.28535008430481,1000.0,22.28652160167694
82,820000,5003.752692375541,-356.83502,99.64165,457.11682,-2.201234,351.8777,5.4158453941345215,1000.0,22.619943046569823
83,830000,4892.051266717222,-363.989,89.68747,456.20926,0.26880872,357.88956,5.35089635848999,972.9,22.942838048934938
84,840000,5026.785920569581,-366.99,106.1344,455.0718,-4.5609303,361.39392,5.368881940841675,1000.0,23.272367747624717
85,850000,5026.205985878221,-355.94217,98.007965,457.1089,5.842974,348.98688,5.249994516372681,1000.0,23.595770665009816
86,860000,5045.640697134277,-374.50296,100.898125,458.66922,6.2130394,369.39612,5.388456583023071,1000.0,23.916797494888307
87,870000,4972.844439959697,-383.04733,109.37869,460.1533,6.603416,378.71423,5.0398173332214355,981.9,24.232554654280346
88,880000,4850.139170397017,-369.14386,87.78067,461.27927,3.0936608,364.09723,5.265123128890991,972.3,24.551233200232186
89,890000,4644.851137507978,-363.8152,84.29335,459.6137,-0.357701,357.27966,5.125051498413086,925.0,24.87052549123764
90,900000,4882.183472696474,-358.03592,77.216576,462.07312,0.6121397,352.3733,5.5065929889678955,1000.0,25.20036229689916
91,910000,5089.436161630601,-380.17508,98.21477,461.25574,9.008194,374.7144,5.060400724411011,1000.0,25.515708021322887
92,920000,5065.908510930769,-362.41656,122.14246,465.5402,-0.051462114,356.1275,5.236544370651245,1000.0,25.83123141527176
93,930000,5034.642274339743,-375.9358,90.84552,464.86737,0.621792,369.5182,5.194663047790527,1000.0,26.1523300687472
94,940000,5014.6273492076525,-382.67407,83.44299,460.8045,1.8208098,378.5539,5.177737712860107,1000.0,26.468879544734953
95,950000,5073.18174944204,-382.17877,92.39073,464.5105,-28.340359,376.39514,5.39076566696167,1000.0,26.789824716250102
96,955000,4997.195602403851,-367.9057,72.53806,465.62427,6.1310644,362.53552,5.295729637145996,1000.0,26.991766774654387
97,960000,5006.82047601094,-381.61072,95.10614,465.0653,1.2688662,375.9104,5.332326650619507,1000.0,27.194744646549225
98,965000,199.1493222082807,-386.31012,132.84097,469.14633,-3.4700732,380.38895,0.20439696311950684,37.5,27.31279689868291
99,970000,4934.327115988789,-380.96497,115.29211,467.29626,1.6402122,376.0904,5.401881456375122,1000.0,27.516567766666412
100,975000,4992.404531239846,-378.939,119.46556,465.4077,-3.4446821,372.31445,5.476369619369507,1000.0,27.737311017513274
101,980000,4911.832415129378,-377.51825,106.25527,466.4587,0.72266394,371.68475,5.312232255935669,1000.0,27.941483549276988
102,985000,4965.1959291489065,-369.93338,86.50835,464.53223,3.6268125,364.4043,5.5265514850616455,1000.0,28.15017824570338
103,990000,5025.80395509745,-391.58508,74.97623,466.58362,3.1070986,387.8338,5.427344799041748,1000.0,28.35469843149185
104,995000,5071.5598733696415,-387.27826,92.01419,465.64053,-0.74272203,382.04333,5.403454542160034,1000.0,28.55829720099767
105,1000000,5035.810494282084,-371.6313,124.407394,466.65063,4.3979225,366.6016,5.409124135971069,1000.0,28.763382252057394
