,step,reward,actor_loss,alpha,alpha_loss,critic_loss,logp,next_q,q1,sampled_q,target_q,eval_time,eval_step,time
0,0,-444.4432804984032,,,,,,,,,,,,
1,10000,-436.1200468483281,,,,,,,,,,,,
2,20000,-16.692956287268707,-37.11051,0.10245806,0.4592274,2.8257594,-1.4821014,37.117714,36.577587,36.958656,36.49687,2.111602306365967,1000.0,0.38573553164800006
3,30000,2113.6145324369036,-41.264442,0.043598745,-0.048147023,4.3426514,4.104321,41.023834,40.540222,41.44339,40.63478,2.126885175704956,1000.0,0.5835313002268473
4,40000,2835.7598237598454,-69.58321,0.081043266,-0.0057988586,9.331558,3.0715528,69.17925,68.891525,69.83214,68.88318,2.080712080001831,1000.0,0.7790243864059448
5,50000,3037.3535025862607,-108.16491,0.09633158,0.004886776,9.490252,2.9492712,108.18916,107.81261,108.44902,108.17059,2.133025884628296,1000.0,0.977322272459666
6,60000,3787.623956013927,-145.8074,0.1221403,-0.0022581518,15.119559,3.0184882,145.49088,145.46466,146.17609,145.62614,2.0654475688934326,1000.0,1.1763815800348918
7,70000,4492.8386576362645,-170.23148,0.14726163,-0.0034544626,19.095837,3.023458,169.8583,170.04811,170.67673,169.88605,2.0077903270721436,1000.0,1.3753734310468038
8,80000,4317.277945742053,-201.79887,0.16244416,-0.05552852,30.545893,3.3418314,201.65462,201.48856,202.34174,201.86015,2.0863800048828125,1000.0,1.5745204965273538
9,90000,5179.976196996184,-227.84167,0.17878391,0.037380945,22.687946,2.7909155,227.13676,227.62749,228.34064,227.23761,2.0149834156036377,1000.0,1.7725945154825846
10,100000,4914.298436687003,-239.30435,0.20041451,-0.021081787,43.64899,3.1051908,238.55597,239.15942,239.92668,238.72026,2.09889817237854,1000.0,1.974258025487264
11,110000,5878.856078201705,-268.9405,0.2083322,-0.08422349,46.8774,3.4042752,268.15936,268.64642,269.64975,268.45038,2.093944549560547,1000.0,2.1771066029866537
12,120000,6204.37699352224,-283.85638,0.22020945,-0.047553517,18.553293,3.2159467,283.43298,284.01953,284.56458,283.46613,2.0628767013549805,1000.0,2.3752773880958555
13,130000,6002.479454113776,-312.95062,0.23257089,-0.036648326,21.82346,3.157579,312.46597,313.3531,313.685,312.71002,2.1031076908111572,1000.0,2.5784613807996113
14,140000,6743.628680734895,-332.37314,0.24908115,-0.12093219,27.71685,3.4855132,332.6139,332.94727,333.24133,332.87958,2.066298007965088,1000.0,2.779387919108073
15,150000,6866.753419619071,-345.27505,0.2629259,-0.023695847,17.316122,3.0901237,345.3748,345.8402,346.08752,345.69812,1.9941458702087402,1000.0,2.975109616915385
16,160000,6908.9903465809275,-357.3531,0.27333668,-0.057709605,40.50468,3.2111301,356.7492,357.06445,358.23083,356.90015,2.084411382675171,1000.0,3.1750468611717224
17,170000,7151.154412663234,-376.80432,0.28388023,-0.04656224,29.219662,3.1640208,377.40543,377.21454,377.7025,377.57825,2.0847630500793457,1000.0,3.3772186199824015
18,180000,6952.572777100642,-381.86124,0.29133812,0.05688565,20.507278,2.8047435,381.96198,381.90558,382.67838,381.97293,2.058509588241577,1000.0,3.581590453783671
19,190000,7112.912110943626,-392.92502,0.29442534,0.12098813,15.639078,2.5890703,392.4458,392.8767,393.68732,392.4271,2.051933765411377,1000.0,3.783037420113881
20,200000,6924.690719187459,-406.8045,0.29483816,-0.020752471,21.140953,3.070386,407.12854,406.86148,407.70972,407.19443,2.1795012950897217,1000.0,3.9850995262463886
21,210000,7194.006451928081,-425.77762,0.30012366,0.04823271,21.181889,2.8392906,425.63275,426.3143,426.62976,425.7785,2.0649750232696533,1000.0,4.184177879492442
22,220000,7167.334729045671,-425.8526,0.29963255,-0.023153624,20.437979,3.0772734,426.29938,426.13477,426.77466,426.49536,2.1275675296783447,1000.0,4.385372042655945
23,230000,6753.557043444684,-437.55533,0.29858342,-0.0050581563,27.049221,3.0169406,437.21793,437.96674,438.45615,437.31985,2.058347463607788,1000.0,4.585905071099599
24,240000,7577.659020194507,-451.7597,0.30244938,0.027937021,18.942127,2.907631,451.9673,452.04028,452.6391,451.99744,2.1158783435821533,1000.0,4.786043218771616
25,250000,7692.605210192525,-450.92212,0.3076212,0.026223078,19.740284,2.9147553,451.14673,451.14563,451.81873,451.1043,2.105975866317749,1000.0,4.9911878546079
26,260000,7669.528925613328,-465.375,0.3114595,0.028174233,35.487335,2.9095414,464.60034,465.14102,466.28122,464.77286,2.1656076908111572,1000.0,5.192240198453267
27,270000,7823.353188767491,-491.1133,0.3139191,0.058852874,22.20288,2.8125222,490.57343,490.94217,491.99622,490.5721,2.106595993041992,1000.0,5.395297423998515
28,280000,8092.240668155488,-484.38855,0.31780323,0.073861636,20.135235,2.767587,484.3451,484.44925,485.26807,484.32245,2.152535915374756,1000.0,5.595273605982462
29,290000,8105.368583321244,-505.20874,0.32924083,-0.07653647,20.335165,3.2324636,505.2934,505.3932,506.273,505.3182,2.0329344272613525,1000.0,5.799841745694478
30,300000,8231.73276666347,-500.6889,0.33490467,-0.07747516,21.747635,3.231335,501.1161,500.8975,501.77112,501.00952,2.0632739067077637,1000.0,5.999812197685242
31,310000,8132.052798395472,-516.4348,0.34917074,0.020366192,36.252956,2.9416726,516.9302,516.45526,517.4619,517.0835,2.036867141723633,1000.0,6.198383963108062
32,320000,8435.337453629909,-533.5714,0.350338,-0.078301586,35.672142,3.223503,533.4603,533.75977,534.7007,533.6169,2.0201549530029297,1000.0,6.397870620091756
33,330000,8762.872887721307,-537.5337,0.35514304,0.043897152,22.66203,2.8763957,537.3789,537.74384,538.5552,537.4279,2.1137852668762207,1000.0,6.598440929253896
34,340000,8652.878141915233,-545.0829,0.36336902,-0.04710304,25.394247,3.129629,545.8799,545.30505,546.2201,545.8949,2.012608289718628,1000.0,6.798139607906341
35,350000,8616.908129025296,-562.36584,0.36972138,0.0031145364,22.141125,2.9915762,563.3778,563.2451,563.47186,563.4597,2.073230028152466,1000.0,7.000617782274882
36,360000,8971.08942202557,-573.07446,0.3716869,0.002610309,32.84101,2.9929771,573.0601,573.3469,574.187,573.3657,2.045124053955078,1000.0,7.199789174397787
37,370000,9201.54451501347,-575.30786,0.3838575,-0.13591911,29.78603,3.3540874,575.20264,575.77747,576.59534,575.21576,2.0315334796905518,1000.0,7.400689204533895
38,380000,9134.467077179508,-581.8286,0.38817304,0.12082845,42.34973,2.688725,581.6032,581.7258,582.8723,581.6801,2.026848316192627,1000.0,7.598535291353861
39,390000,9073.997967092582,-595.3052,0.390639,-0.05657798,28.145662,3.1448345,595.9619,595.38916,596.5337,595.97675,2.017366409301758,1000.0,7.796351603666941
40,400000,9351.433114348976,-590.83655,0.39491588,0.053242527,34.31639,2.86518,590.23865,590.5486,591.968,590.19714,2.0323801040649414,1000.0,7.994949909051259
41,410000,9187.67258730496,-602.33325,0.40193987,-0.06184399,27.665497,3.153864,603.5758,602.83154,603.60095,603.67303,2.082679033279419,1000.0,8.19499948422114
42,420000,9490.989784047104,-596.9137,0.4100507,0.08746999,70.52376,2.786685,596.72253,597.2698,598.0564,596.65625,2.082170009613037,1000.0,8.395229160785675
43,430000,9498.141217816676,-614.9212,0.41544816,-0.026458755,25.430199,3.0636873,615.5784,615.6678,616.194,615.5655,2.0936169624328613,1000.0,8.594896256923676
44,440000,9478.633583638819,-623.7498,0.42162845,-0.09844063,41.20354,3.2334774,623.05164,623.7969,625.11316,622.9512,2.044312000274658,1000.0,8.795243453979491
45,450000,9632.953875437157,-623.1046,0.41982943,-0.1269658,26.526361,3.3024223,623.4263,623.47363,624.4911,623.53674,2.057114362716675,1000.0,8.99526043732961
46,460000,9927.38980843238,-631.42664,0.42609528,0.053260617,35.50419,2.875003,630.69006,632.2113,632.65173,630.87024,2.086695909500122,1000.0,9.196689256032307
47,470000,9569.980320218481,-625.08655,0.4268214,-0.23406108,45.17124,3.5483818,624.9558,625.3896,626.6011,624.9697,2.1207528114318848,1000.0,9.399159677823384
48,480000,9568.650436314187,-635.6216,0.429378,-0.0024486408,29.270176,3.0057027,637.0199,635.8469,636.9121,636.9607,2.080017328262329,1000.0,9.601604223251343
49,490000,9589.48923838861,-640.7517,0.43190366,-0.12478808,29.466314,3.288926,641.0381,640.9398,642.1721,640.96106,2.0907862186431885,1000.0,9.80424394607544
50,500000,9971.263940257286,-644.6804,0.43470553,0.095912516,35.729877,2.7793622,644.9389,644.3138,645.8886,644.8417,2.1198501586914062,1000.0,10.0060977657636
51,510000,9225.975646062125,-635.7616,0.43360713,-0.01860582,35.849083,3.0429094,636.715,635.4951,637.08105,636.4222,2.0217530727386475,1000.0,10.205962411562602
52,520000,10002.88248256147,-656.0172,0.44184834,-0.035121605,33.778522,3.0794878,658.02563,656.93555,657.3778,657.9337,2.059749126434326,1000.0,10.407244598865509
53,530000,10083.578737456597,-654.3534,0.4361737,0.05487597,60.906242,2.874188,654.7379,654.4742,655.6072,654.58154,2.120652198791504,1000.0,10.61074691216151
54,540000,9892.186196599874,-668.61975,0.44137794,-0.1442234,49.687607,3.3267572,668.6873,669.75464,670.08813,668.7281,2.058220624923706,1000.0,10.808859996000926
55,550000,9826.296200550894,-668.67267,0.4421241,0.000100269914,23.434265,2.999773,669.31104,669.0046,669.99896,669.08997,2.064934015274048,1000.0,11.009294160207112
56,560000,10180.268414656402,-678.7449,0.4404144,-0.15898822,39.669827,3.360997,678.8677,679.08124,680.2251,678.8821,2.040707588195801,1000.0,11.208933627605438
57,570000,10127.99548793585,-679.41187,0.44356245,0.092726916,35.21305,2.7909493,680.4713,679.8511,680.6498,680.3267,2.0299570560455322,1000.0,11.407772612571716
58,580000,10162.851258511644,-696.32117,0.44843286,-0.070815004,30.008207,3.1579165,697.35565,697.1508,697.7373,697.39343,2.0489108562469482,1000.0,11.608306896686553
59,590000,10303.866895147443,-709.3523,0.4604018,0.14559492,32.984364,2.6837654,709.1077,709.74146,710.58795,709.3225,2.0081629753112793,1000.0,11.809596093495687
60,600000,10362.733081815746,-707.84595,0.45400026,-0.20713207,44.168404,3.4562376,707.50354,708.34033,709.41504,707.80676,2.1334409713745117,1000.0,12.011194213231404
61,610000,9988.577505258208,-702.68317,0.45224002,-0.021232557,35.24547,3.0469496,702.86273,703.3073,704.06116,703.05725,2.030287265777588,1000.0,12.212421266237895
62,620000,10370.641678050904,-701.5189,0.4483054,0.03842315,26.77969,2.9142923,702.4347,701.98987,702.8254,702.3574,2.051443338394165,1000.0,12.414914413293202
63,630000,10511.473945268846,-710.07117,0.4501496,0.059600286,33.290596,2.867599,711.97473,711.2283,711.36206,712.06946,2.126505136489868,1000.0,12.614093347390492
64,640000,10230.286736855061,-707.3445,0.4532642,-0.16499841,37.311436,3.3640225,708.73865,708.80566,708.86926,708.82996,2.0888593196868896,1000.0,12.813710828622183
65,650000,10306.549421611118,-718.6148,0.4567003,0.07133748,40.178593,2.843798,718.5636,719.1001,719.9136,718.67334,1.9861979484558105,1000.0,13.011104889710744
66,660000,10523.130088773138,-719.3461,0.4590235,-0.076369375,28.406422,3.1663737,719.5788,719.7386,720.79956,719.578,2.0611324310302734,1000.0,13.212269564469656
67,670000,10488.044840897232,-718.964,0.4564249,-0.0045495853,20.914305,3.0099678,720.0409,719.6106,720.33777,719.87415,2.1163086891174316,1000.0,13.413791326681773
68,680000,10330.924955694674,-719.2953,0.45745736,0.06397192,51.1964,2.8601577,719.2617,719.7524,720.6037,719.2012,2.1119368076324463,1000.0,13.615644820531209
69,690000,10750.384740544787,-734.7407,0.45523256,-0.021681903,32.502518,3.0476282,734.55676,735.3966,736.1281,734.6921,2.0980677604675293,1000.0,13.817292249202728
70,700000,10680.741108176615,-734.05164,0.4648781,-0.0066325925,32.966846,3.0142674,733.8459,734.51025,735.4529,733.87054,2.0734682083129883,1000.0,14.017467939853669
71,710000,10557.769259125429,-728.4989,0.46438888,0.08912071,46.961,2.8080904,728.6836,728.96155,729.8029,728.6267,2.1282949447631836,1000.0,14.219887149333953
72,720000,10780.605713112389,-731.73535,0.45303887,0.14011696,33.869904,2.6907175,731.6465,732.3249,732.95435,731.4193,2.0715794563293457,1000.0,14.422657044728597
