,step,reward,critic_loss,q1,q2,time
0,0,937.7502672112566,,,,
1,5000,937.7502672112566,,,,
2,10000,937.7502672112566,,,,
3,15000,937.7502672112566,,,,
4,20000,937.7502672112566,,,,
5,25000,937.7502672112566,,,,
6,30000,886.6391108061623,3.4754124,2.3664691,2.37611,0.641760770479838
7,35000,795.6974469385716,3.4841065,9.759066,9.866323,0.8288511355717977
8,40000,711.5554534658487,3.353424,15.554556,15.314159,1.01113733847936
9,45000,564.2472528044487,2.913995,19.467148,19.47636,1.1869234442710876
10,50000,742.1270872237463,2.9696152,21.363884,21.325737,1.371214783191681
11,55000,787.5549640098515,2.2762513,23.44748,23.482586,1.5809238831202188
12,60000,816.3338299341625,2.1476583,24.729498,24.822742,1.7684733986854553
13,65000,862.6429938341801,2.2628381,26.60807,26.584862,1.9591429432233174
14,70000,830.9452737938243,2.2266636,27.418049,27.47565,2.1499579350153604
15,75000,858.969482904372,1.7876427,30.665665,30.797834,2.3384864727656045
16,80000,869.8543872498361,2.5372658,30.661613,30.378609,2.5281532645225524
17,85000,902.4568287741088,1.7087939,32.43873,32.300003,2.720369243621826
18,90000,890.3612252681789,1.6332848,33.438118,33.441,2.916482655207316
19,95000,935.7153968767919,2.4027758,35.310295,35.27327,3.1108404199282327
20,100000,954.582865808615,1.5957694,35.45336,35.722404,3.302925984064738
21,105000,853.3078119023558,1.9443525,35.402374,35.389587,3.4885706265767413
22,110000,953.9372224704754,1.8582826,37.833748,37.68196,3.68009459177653
23,115000,963.4419705579985,1.7156969,38.336597,38.381927,3.9052117149035137
24,120000,941.1275982985715,1.7729542,38.73985,38.517662,4.193100488185882
25,125000,932.2849553792892,1.982185,39.702335,39.762856,4.483169802029928
26,130000,940.9466723446188,1.9619691,40.389267,40.766617,4.773524351914724
27,135000,926.8209643935836,2.034527,41.872086,41.64669,5.060829746723175
28,140000,912.3201246143229,2.818194,41.52642,41.68837,5.351240094502767
29,145000,929.1399080176167,1.6796468,42.03611,41.931877,5.6415249864260355
30,150000,897.9352114140618,1.5864468,44.13317,44.092316,5.9358509421348575
31,155000,922.3194365687871,1.6854861,44.660496,44.627575,6.227198195457459
32,160000,891.2138634619271,1.818661,44.545586,44.735817,6.5207976738611855
33,165000,926.3494611335673,0.96376634,45.596268,45.55215,6.814266014099121
34,170000,906.9957230632144,1.6877321,45.768322,45.722015,7.1163734237353005
35,175000,921.873090214237,2.0349803,46.4095,46.419777,7.405764440695445
36,180000,941.5615790830398,1.8099302,45.532497,45.462685,7.69949559768041
37,185000,905.6838039920713,1.6276071,48.400803,48.46232,7.991090790430705
38,190000,931.7827115853815,1.7605627,47.805878,47.789173,8.314628688494365
39,195000,909.9469870770117,2.3054643,48.046158,48.11915,8.736813910802205
40,200000,882.7201508971004,1.8945248,48.902023,49.020317,9.166733475526174
41,205000,923.6014215658694,1.9479755,49.279385,49.11833,9.59972088734309
42,210000,924.114546889103,1.5926667,49.54792,49.515617,10.030145156383515
43,215000,934.1216210257464,1.3412833,50.78298,50.790916,10.46309734582901
44,220000,924.5539318089161,2.4411898,50.205738,50.261497,10.885386443138122
45,225000,943.5461362476472,2.1360881,48.87775,48.867382,11.310055613517761
46,230000,926.199016628859,1.6221192,49.418537,49.507812,11.734779882431031
47,235000,944.0528286699498,1.5548257,50.50891,50.581596,12.163843731085459
48,240000,952.6013056030877,1.8666172,50.929405,50.816826,12.586087707678477
49,245000,932.9257962015288,2.0055418,49.11683,49.116936,13.012523957093556
50,250000,933.5858127570307,2.3955941,49.8229,49.99279,13.434683132171632
51,255000,922.5656262824607,1.5273191,50.65087,50.70137,13.86120513677597
52,260000,941.6527202397295,2.1117773,48.257465,48.246384,14.277670852343242
53,265000,941.9728095093806,1.6300397,49.63463,49.645073,14.690487043062847
54,270000,884.4498770922153,1.7509115,50.92695,50.994175,15.108525983492534
55,275000,905.7792348069743,2.141765,51.192486,51.039192,15.53069519996643
56,280000,920.4854832649074,1.4150554,50.147835,50.0899,15.955600881576538
57,285000,904.0289195564794,2.0294228,48.404488,48.327568,16.369869581858318
58,290000,908.4564082408576,1.6486804,50.882374,50.949394,16.790285011132557
59,295000,952.6016040206817,2.3096943,50.99039,51.07209,17.213962813218433
60,300000,951.6282104158697,1.9213037,51.4337,51.266693,17.6381623228391
61,305000,923.9184457255731,1.5699898,50.50446,50.47056,18.059123504161835
62,310000,916.2661642036343,1.0829258,52.487732,52.443672,18.485043342908224
63,315000,941.785776748362,1.2071648,53.041267,53.102512,18.901905389626823
64,320000,947.0900431641905,0.9649668,53.335155,53.317078,19.322794806957244
65,325000,924.6407198437624,1.4781455,52.97239,52.898552,19.74239362478256
66,330000,914.1826700714412,1.1813049,53.70648,53.58103,20.153184779485066
67,335000,958.8720435481473,1.7938881,53.512524,53.51882,20.572755098342896
68,340000,914.007346443755,1.1388102,53.275944,53.360657,20.998882627487184
69,345000,937.3531873067025,0.91494375,55.787453,55.832375,21.41243360042572
70,350000,898.0454008740495,1.3203859,54.072235,54.06648,21.83080994685491
71,355000,934.9322511326678,1.1896152,55.816044,55.84709,22.22791672150294
72,360000,928.8284096674886,1.2531303,54.86981,54.724377,22.61928682724635
73,365000,962.9081996613344,1.3313385,54.53142,54.648262,22.974782037734986
74,370000,916.2811702804038,1.4421313,54.699997,54.692337,23.24538302818934
75,375000,948.5596777948228,1.3394748,54.5429,54.49128,23.508241256078083
76,380000,983.204337055114,1.8567345,54.221657,54.145966,23.75935340722402
77,385000,983.3824591782484,1.4299212,55.042046,55.089645,24.02086442708969
78,390000,961.4619767853395,1.2111478,54.82797,54.713264,24.283985817432402
79,395000,965.0690621383316,1.7968575,54.47076,54.434406,24.551109536488852
80,400000,999.5084080359371,1.2437242,55.88492,55.944294,24.82159315745036
81,405000,1043.7898375151076,2.021664,55.653687,55.64237,25.093259052435556
82,410000,1083.6470635699243,1.4962728,55.899857,55.942596,25.354019780953724
83,415000,1072.6150174130103,1.18677,56.77768,56.76346,25.611264928181967
84,420000,1072.274432428438,0.91978574,57.110085,57.092224,25.878338873386383
85,425000,1069.9237688278006,1.012934,57.714172,57.637123,26.13347183863322
86,430000,1037.8042882739,1.0979859,58.964546,58.931778,26.410359811782836
87,435000,1083.5758401120142,1.8397028,57.528107,57.457237,26.679893147945403
88,440000,1090.6045155218083,1.4299151,59.048927,59.109344,26.9489160378774
89,445000,1105.2386006415165,1.116946,59.207664,59.265865,27.20824602047602
90,450000,1122.8098216926107,1.784157,58.795773,58.86468,27.464559483528138
91,455000,1103.3293015226734,1.6033401,59.91749,59.88922,27.71762675444285
92,460000,1062.081965315191,1.5618482,59.10212,59.09642,27.986666373411815
93,465000,1063.932650539098,1.1204455,59.282097,59.166664,28.2567440867424
94,470000,1107.3538230381032,1.8437709,61.658188,61.65732,28.523796586195626
95,475000,1127.72431988667,1.4422203,60.970352,61.01258,28.773481941223146
96,480000,1091.141225452919,1.0286742,63.08655,63.066208,29.025221566359203
97,485000,1092.3644966959157,1.1315651,61.734962,61.63626,29.294014326731364
98,490000,1160.6973979601064,1.7827108,62.557137,62.561455,29.56240528424581
99,495000,1109.2589114830305,2.1012492,62.23316,62.190735,29.831688904762267
100,500000,1183.7616315280297,0.904551,63.47457,63.56584,30.101949274539948
101,505000,1080.1168309868758,1.392899,63.2846,63.27143,30.362533263365428
102,510000,1098.1128862924375,1.39358,62.09223,62.114677,30.608633609612784
103,515000,1176.9441543590951,1.7205806,63.2776,63.25036,30.8636168162028
104,520000,1195.3269252193113,0.9390253,65.87744,65.82849,31.13150777419408
105,525000,1243.944973849598,1.2455528,63.2345,63.243744,31.39814651409785
106,530000,1133.1236799852636,1.438324,65.49517,65.47859,31.65846618413925
107,535000,1202.084358237778,1.2271091,65.7337,65.74281,31.905768338839213
108,540000,1225.9372607700357,1.4955566,66.79902,66.788574,32.164295212427774
109,545000,1233.2217407463158,1.10519,68.45151,68.369644,32.431376592318216
110,550000,1264.2921873974792,1.6120088,66.54266,66.57925,32.70032933950424
111,555000,1321.5121300758606,1.4867887,67.69884,67.575134,32.97211751937866
112,560000,1262.3029277665403,1.3519089,68.54512,68.53903,33.376541658242544
113,565000,1301.928550316267,1.8506882,68.1615,68.18407,33.78338187932968
114,570000,1267.243506590968,1.0496813,67.022804,67.004456,34.189426906903584
115,575000,1257.0802490306976,0.9202605,70.45409,70.478966,34.55162054697673
116,580000,1298.9415753365586,1.0623105,69.09351,69.20938,34.842011038462324
117,585000,1332.9652657269844,0.74422896,71.707184,71.64987,35.127060107390086
118,590000,1277.683433021122,1.22248,69.35018,69.22522,35.413026956717175
119,595000,1315.0837763528039,1.7684622,71.791916,71.76364,35.70233832597732
120,600000,1323.7279023730796,1.703088,70.39946,70.4059,35.99049020608266
121,605000,1318.3077536474686,1.1644304,72.19666,72.20528,36.279385936260226
122,610000,1293.9388992191557,1.2977346,70.24315,70.141304,36.56834317445755
123,615000,1341.4508714828203,2.1238241,70.63658,70.654205,36.85524924198786
124,620000,1340.6395227953649,1.7173574,72.3351,72.33717,37.14306461016337
125,625000,1355.8040865124124,1.1338341,73.29018,73.30495,37.43575304349263
126,630000,1315.4663060411335,1.9384406,74.45891,74.476456,37.72476660410563
127,635000,1219.3317959080168,2.1910384,72.345116,72.27191,38.00810857613882
128,640000,1363.8370378325303,1.3259387,73.370285,73.35135,38.293784093856814
129,645000,1450.2116606175737,2.0428534,72.848755,72.78964,38.58279700279236
130,650000,1472.3769147177477,1.9540949,73.61615,73.62585,38.867594532171886
131,655000,1215.6455605754072,1.9996091,73.26819,73.171005,39.1483388821284
132,660000,1483.2335407329595,1.0521628,75.00358,75.01205,39.42781170606613
133,665000,1375.5636152807137,2.003116,74.224976,74.18451,39.70228530963262
134,670000,1442.2166887331618,1.277946,76.32847,76.3153,39.992156370480856
135,675000,1530.3029855219645,2.7484436,75.377106,75.38023,40.28132766485214
136,680000,1576.6476885238176,1.2896461,78.37735,78.38493,40.607000915209454
137,685000,1646.9862580853285,1.5375571,77.303925,77.26465,41.003332217534386
138,690000,1630.1799670872595,1.6967751,78.713196,78.67357,41.40141346057256
